CQM,Date,Arrival Time,Machine Down?,Problem Code,Fault Found  by vendor,Remarks
5806,01-Jul,11:15,Y,Request,Health checked,ESU. Adjust the Feeder pad. Clean scanner and Flat belt. Tested ok.
586C,01-Jul,9:40,N,NUD,Jam cheque on red belt.,the 420 belt lose. Reinstall the 420 belt. Tested ok.
5822,01-Jul,15:15,Y,Request,ESU Activation,ESU Activation
5879,01-Jul,10:50,Y,Request,HEALTH CHECK,Replaced printer.
5862,01-Jul,10:00,N,NUD,Jam cheque at ramp.,make ramp smooth.
588A,01-Jul,10:45,N,NGB,out of service,Clean F2 sensor. Tested ok.
58C2,01-Jul,11:40,Y,NZA,CAS printer,clean printer board.
5803,01-Jul,16:30,N,NGB,out of service,Clean feeder roller and sensor.
5842,01-Jul,17:30,N,NGC,out of service,Check lan. Image not arrive. Clean SMJ.
5803,01-Jul,20:30,N,NGB,out of service,Need follow up transparcy replacement.
5803,02-Jul,11:05,N,Request,Follow up,"Replace staple detector flag, clean sensor and roller. Test OK."
58BD,02-Jul,9:00,N,NUA,Auto reset,"jam a coupcon into card reader,remove and replaced stamp plate"
58FD,02-Jul,10:50,Y,Request,PM Checked,PM checked
58FE,02-Jul,10:50,Y,Request,PM Checked,"PM checked. Reported Feeder roller, Flat belt on collection box and O-ring."
58EA,02-Jul,11:10,Y,NZA,CAS printer,Clean printer.
58E9,02-Jul,10:55,Y,NZA,CAS jam,removed jam advice. Clean printer.
58A2,02-Jul,11:25,Y,NZA,CAS jammed at roller,Clean cas printer and clean roller. Test ok.
5894,02-Jul,12:25,Y,NGB,Jam cheque,"machine arrived normal,adjust F28 sernsor. *offered 11:30"
5845,02-Jul,11:40,Y,NUD,Jammed cheque,Remove jammed cheque at scanner. Cleaned roller. Serviced machine. Test OK.
58CC,02-Jul,13:30,Y,NZA,No advice,checked the advice. Replaced the new advice. Tested ok. *offered 12:30
58B4,02-Jul,13:15,N,NGB,jam cheque,no jam cheque. Clean scanner
5893,02-Jul,12:45,N,NGC,out of service,lower door not closed properly by branch staff. Action : adjust and close.
5871,02-Jul,14:35,Y,Request,downlog,"replace micr belt, downlog"
588E,02-Jul,14:00,Y,NIB,Endorsement,Clean pressure roller and scanner. Perform TSP
5895,02-Jul,13:45,Y,NIC,black line,clean scanner and stamp
582E,02-Jul,14:00,N,NIC,Image blur,Perform TSP. Remove jammed cheque at feeder. Clean F28 sensor.
58EE,02-Jul,15:00,N,NIC,Image zoom out,Cleaned scanner. Perform TSP. Serviced machine. Test OK.
586C,02-Jul,14:45,N,NIB,No back endorsement,The ribbon is no ink. Action: Replace ribbon and clean scanner. Test ok.
5830,02-Jul,14:05,Y,NIC,Black line,clean scanner and roller. Tested ok.
58AE,02-Jul,14:35,N,NBZ,Black screen,Replug touch screen cable. Restart machine.
5858,02-Jul,15:45,Y,NOZ,CAS,No problem found on printer. Clean printer. Perform TSP.
58FE,02-Jul,15:00,N,NZA,out of service,Restart the CAS printer. Tested ok.
5832,02-Jul,16:40,N,NIA,Crossing,Adjusted ink roller. Serviced machine. Test OK.
5859,02-Jul,15:10,Y,NIA,No crossing,Replace stamp.
5870,02-Jul,15:45,Y,NIC,Black line,Cleaned scanner. Serviced machine. Need replace scanner roller.
58A9,02-Jul,16:30,Y,NUA,Can't insert card.,clean card reader. Restart the PC. Tested ok.
58D6,02-Jul,16:55,Y,NIC,black line,clean scanner in endorsement
5896,02-Jul,15:15,N,NZA,out of service,Remove jammed CAS. Serviced machine. Test OK.
5871,02-Jul,16:20,N,NZA,out of service,remove jam advice
5876,02-Jul,15:45,Y,Request,Health Check ,Health Check - Rescrew the cover lock and test ok.
5862,02-Jul,17:00,Y,Request,Health Check ,Upload logs
5863,02-Jul,17:15,Y,Request,Health Check,Upload logs
580A,02-Jul,15:45,Y,NOZ,Cas slowly,"machine check normal,service machine"
585B,02-Jul,16:00,Y,Request,CAS printer,Clean printer sensor and scanner.
5870,02-Jul,17:15,Y,NOZ,Check scanner,Check scanner. Need follow up.
584C,02-Jul,18:30,N,NUD,Bin 1 solenoid missing c-ring,"Remove cheque at sorter, install new c-ring. *offered 17:30"
587C,02-Jul,21:00,Y,NGC,F1 & F29 sensor engaged,"Adjust feeder pad, clear black line *follow 584C"
582A,02-Jul,19:00,Y,NIC,Black line on front image,"Clean scanner & stamp, perform TSP"
5816,02-Jul,18:15,N,NGB,Out of service,Clean F8 sensor. Perform TSP.
583A,02-Jul,20:20,N,NBA,Can't insert box,Replace box wire.
585F,02-Jul,19:30,Y,NIA,Crossing blur,"Replace stamp, clean scanner"
5845,02-Jul,10:55,N,NGC,Idle,"Restarted machine & PC, update BIOS setting. Serviced machine. Test OK."
5897,02-Jul,19:30,N,NGB,jam cheque,"no jam cheque, clean printer, roller and micr and micr belt"
58BD,02-Jul,19:30,Y,NOZ,Black line,No problem found. Perform TSP.
586C,03-Jul,10:10,Y,NOZ,endorsement blur,adjust the ribbon. Perform TSP. tested ok.
5870,03-Jul,10:45,Y,Request,Health check,Replaced scanner due to rollers soft
5871,03-Jul,11:15,Y,Request,Upload log,Upload logs
5891,03-Jul,13:00,Y,NZA,Jam CAS,"Remove jam cas. Clean printer sensor, roller, print head *follow 5871"
5894,03-Jul,13:10,N,NGB,Out of service,"Cleaned sensor (F28), adjust wire (scanner), tested ok"
5873,03-Jul,14:00,N,NBA,Cheque jam,The bin wire is broken. Action: Remove cheque and replace bin wire. Test ok.
5896,03-Jul,14:00,N,NIC,Image small,"Cleaned scanner, perfrom TSP. Serviced machine. Test OK."
5817,03-Jul,14:55,N,NIC,Black line,"Clean scanner, stamp and replace ribbon. Test OK."
5828,03-Jul,15:50,N,NIA,Black line,"Replace stamp , ink roller and adjust it, clean scanner and roller. Test OK."
5832,03-Jul,14:30,N,NIC,Black line,Cleaned scanner. Serviced machine. Test OK.
585F,03-Jul,15:40,N,NIB,Endorsement,Clean ribbon and pressure roller. Adjust ink roller
587F,03-Jul,14:30,Y,NIA,crossing problem,replace ink roller
586C,03-Jul,15:30,Y,NIB,endorsement blur,Replaced ribbon. Adjust the ribbon. Tested ok.
5812,03-Jul,16:00,Y,NIB,Endorsement,"Calibrated the scanner, tested ok"
58D6,03-Jul,16:20,Y,NIC,Black line on front image,"Clean scanner & stamp, perform TSP"
5870,03-Jul,16:00,N,NOZ,Black line,NFF. Cleaned scanner. Serviced machine. Test OK.
58E5,03-Jul,16:30,N,NIB,Endorsement,Adjusted print head. Serviced machine. Test Ok.
5865,03-Jul,17:00,Y,NIB,No endorsement,replaced ribbon cartridge. *follow 5812
5894,03-Jul,16:40,N,NGB,Out of service,"Replace sensor (F28), tested ok *RI"
58AB,03-Jul,16:25,N,NUD,cheque jam,The bin 1 solenoid is down. Action: Fix bin 1 solenoid and remove cheque. Test ok.
584A,03-Jul,18:45,Y,NIC,black line,"clean stamp and scanner, adjust ink-roller *requested by CIT"
58DC,03-Jul,19:15,Y,NIA,Crossing blur,Replace stamp *roffered 18:15
58A6,03-Jul,18:45,Y,NIC,Black line,"Clean scanner, stamp and pressure roller."
5896,03-Jul,19:40,N,NUD,out of service,jam cheque at sorter as solenoid no smooth. Clean solenoid at bin 1
58E0,03-Jul,19:00,N,NUD,Jam cheque at sorter,"Remove cheque, tested ok"
581F,03-Jul,20:15,N,NBZ,out of service,"missing 24V, adjust lower 24V"
58B4,03-Jul,21:00,Y,HPE,No endorsement,Replace pressure roller
58D6,03-Jul,21:35,N,NGC,No image arrvied,Replug lan cable & scanner cable
5875,04-Jul,13:00,Y,Request,Health Check,Health Check - ESU and fix bin 1 solenoid. Test ok.
5874,04-Jul,13:15,Y,Request,Health Check ,Health Check - ESU and clean scanner. Test ok.
5872,04-Jul,13:30,Y,Request,Health Check,Health Check - ESU and fix ramp gate. Test ok.
5896,04-Jul,10:00,N,NIC,back image,"clean smj, scanner TSP. Replug cable."
58A2,04-Jul,11:20,N,NZA,No advice,Jam advice. Replaced the CAS printer. Tested ok.
58B4,04-Jul,14:05,Y,Request,Health check,"replace stamp, clean sensor and roller"
588A,04-Jul,14:15,Y,NOZ,No endorsement,"no find problem, clean scanner"
580E,04-Jul,17:30,N,NUD,jam cheque,"jam at scanner, remove fold cheque from scanner"
5894,04-Jul,19:15,N,NGB,sensor 28 engage,"find that lower F28 sensor loose and not on position, fix it."
58CC,05-Jul,10:30,N,NGB,Out of service,Clean sensor F14 and clean scanner. Test ok. *requested by CIT
5888,05-Jul,11:00,Y,NZA,CAS jam,"Remove jam cas. Clean printer sensor, roller, scanner."
58A5,05-Jul,13:00,N,NUD,Cheque jam,"Cheque jam at bin 2, the bin 2 solenoid is down. Rescrew bin 2 solenoid and remove cheque. Test ok."
5829,05-Jul,16:15,N,NGB,Out of service,Sensor F6 is dirty. Clean sensor F6 and clean scanner. Test ok.
5846,06-Jul,10:00,Y,Request,PM Check,Pm check with reference to document RI/PM/202006.
5858,06-Jul,9:45,N,NUD,Jammed cheque,"Adjust ribbon, tested ok"
5897,06-Jul,10:25,Y,NOZ,can't insert HSBC cheque,no find problem. Clean micr.
584D,06-Jul,11:45,N,NUD,jam cheque,"jam at aligner, remove fold cheque"
58EA,06-Jul,11:30,Y,NZA,jam CAS,Removed jam advice. Adjust CAS switch. Replaced ink roller and adjusted it. Clean stamp.
5871,06-Jul,12:30,Y,HCA,CAS problem,"Replace CAS printer, clean black line"
5844,06-Jul,13:00,,NUD,Jam cheque at scanner,adjust scanner belt. Adjust AT roller to prevent double cheque.
587F,06-Jul,13:15,Y,NOZ,black line,"clean scanner and stamp, no find problem"
58B6,06-Jul,15:15,Y,NIA,Crossing blur,Adjust stamp gap
5861,06-Jul,15:30,Y,NIB,Black line,Back scanner is dirty. Ribbon is broken. Replace ribbon and clean scanner. Test ok.
588E,06-Jul,14:00,Y,NZA,Cas jam,"cleaning cas printer cutter paper bit,Test ok"
58E5,06-Jul,14:30,Y,NIA,Crossing,Adjust ink roller. Test ok
58B8,06-Jul,16:00,Y,NOZ,black line,"clean scanner and stamp, no find problem. *offered 14:30"
5802,06-Jul,14:55,Y,NIA,crossing problem,"Adjust ink roller, clean scanner and roller. Test OK."
58C9,06-Jul,16:15,Y,NIC,black line,clean scanner and stamp
588F,06-Jul,15:45,Y,NIC,front blackline,cleaned it and stamp.
58B7,06-Jul,15:50,Y,NIA,Crossing blur,replaced the stamp. Tested ok.
585B,06-Jul,16:00,Y,NIC,Black line,"Clean scanner & stamp, perform TSP"
586B,06-Jul,16:15,Y,NOZ,Out of service,Machine normal. Replaced CAS. Serviced machine. Test OK.
5858,06-Jul,16:25,N,NIB,Endorsement problem,"Replace ribbon, clean scanner and roller. Test OK."
58A0,06-Jul,17:15,N,HTP,Out of service,"Sensor (F11) engage, need follow up, tested ok"
5816,06-Jul,19:15,Y,Request,Search cheque,No cheque found. Serviced machine. Test OK.
58A0,06-Jul,20:45,N,Request,Out of service,"Replaced sensor F10, F11. Serviced machine. Test OK."
588A,06-Jul,19:30,N,HPE,Endorsement problem,"Replace test printer motor, ribbon, clean sensor and roller. Test OK."
581B,06-Jul,21:20,N,NUD,Jammed cheque,"Remove cheque near in bin 1, fixed the bin 1 solenoid, clean scanner and roller. Test OK."
5897,07-Jul,9:00,Y,NGC,Printer spooler failed,Normal service machine. Test ok.
583D,07-Jul,9:10,N,NUD,Jam cheque at scanner,"scanner guide out of position ,Action : adjust"
5826,07-Jul,11:20,Y,Request,PM Check,Pm check with reference to document RI/PM/202006.
5811,07-Jul,10:45,Y,Request,PM Check,Pm check with reference to document RI/PM/202006.
5871,07-Jul,10:30,N,NGB,Out of service,clean sensors. Replace micr head. *requested by CIT
5842,07-Jul,14:15,Y,Request,Health check,"checking ACLT timeout ,Upload log"
5892,07-Jul,15:00,N,NIC,No rear image,Clean scanner and perform tsp. *requested by CIT
5848,07-Jul,14:15,N,NIC,Black line,"Clean scanner and roller, replace ribbon, adjust ink roller and stamp. Test OK."
58E5,07-Jul,13:55,N,NIC,black line,clean scanner and stamp
586D,07-Jul,15:00,N,HTP,Cheque jam,replace flat belt in bin 1
58A8,07-Jul,15:50,N,NIC,black line and crossing,clean scanner and replace ink-roller. *follow 586D
58E4,07-Jul,15:00,N,NIB,Endorsement blur,Replaced ribbon. Serviced machine. Test OK.
58C8,07-Jul,17:15,N,NIB,Endorsement,"Calibrated the scanner, tested ok *requested by CIT"
580C,07-Jul,14:55,N,NIC,Black line,cleaning scanner and pressure roller
58D9,07-Jul,16:50,N,NIA,Crossing incomplete,"ink roller no ink,Action : replaced ink roller"
58AB,07-Jul,15:10,Y,NIB,Eendorsement blur,replaced the ribbon. Adjust the image setting to 95 from 85. tested ok.
5881,07-Jul,15:30,N,NIC,Black line,Clean scanner and stamp.
5882,07-Jul,15:50,N,NIC,Black line,Clean scanner and stamp. *offered 14:45
58DF,07-Jul,16:45,N,NIB,black line,"clean scanner, replace ribbon. *follow 586D"
581C,07-Jul,15:30,Y,NIB,Endorsement blur,replaced ribbon and adjusted it.
58DB,07-Jul,15:25,N,NIB,Black line,The ribbon is no ink. Replace ribbon and clean scanner. Test ok.
58E9,07-Jul,16:45,N,NGB,Out of service,Printer lift error. Clean sensor and MDM board.
5871,07-Jul,15:50,Y,NIC,Blackline,"Clean scanner, perform tsp and tighten front scanner."
5888,07-Jul,15:30,N,HCA,No cas & Out of service,"cas printer pulley gear broken,will be follow replaced"
5897,07-Jul,15:45,N,NBZ,Out of service,adjust lower 24V. Clean cas printer.
588E,07-Jul,17:00,Y,NUD,Jammed cheque,"Adjust thickness adjuster, clean sensor and roller. Test OK."
5825,07-Jul,17:15,Y,NIC,Black line,Cleaned scanner. Serviced machine. Test OK.
5835,07-Jul,16:30,N,NIA,No stamp,The stamp is broken down. Replace stamp and clean scanner. Test ok.
5888,07-Jul,19:45,N,Request,Follow up,Replaced CAS printer. Serviced machine. Test Ok.
5883,07-Jul,18:15,Y,NIA,Crossing,No ink. Replaced ink roller. Serviced machine. Test OK. *offered 18:30
5876,07-Jul,17:15,Y,NZA,Advice blur,clean the print head. Tested ok.
58A8,07-Jul,19:10,N,NIB,Endorsement,Replace ribbon and clean scanner.
5808,07-Jul,21:20,Y,NIC,Black line,Clean scanner and stamp. Test OK. *requested by CIT
5872,07-Jul,21:45,Y,NIC,Black line,clean scanner and roller. Tested ok. *requested by CIT
